external_txn_id,account,currency,amount,debit_credit,booking_date,value_date,reference,narrative
924137123030,ACC#00005,USD,2324244.25,DR,2023-08-24,2023-05-28,VOLERY 4032623666FP,TUP 588300372553366IFV /967/M 2359
210911021702,ACC#00018,USD,334573.00,DR,2023-08-24,2023-05-28,VOLERY 4032658666FP,TUP Q1X600375804166IFV /06/6650162
182375832869,ACC#00024,USD,44260.00,DR,2023-08-24,2023-05-28,32566R070M 5269866613VI,
243641640255,ACC#00001,USD,-477160.00,CR,2023-08-24,2023-05-28,ZYRENIAN 7156166614XD,JINSHANG TOPFILLED ENHAT TYPY GILL
382184122160,ACC#00023,USD,2231669.00,DR,2023-08-24,2023-05-28,VOLERY 4035407666FP,TUP Q78500375789666EU AS UDV/LEUMA
60620615142,ACC#00011,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045230666FP,TUP FU29003166148F6REAVOWED/WAMP 9
963210539716,ACC#00013,USD,-24639890.87,CR,2023-08-25,2023-05-31,VOLERY 4042236666FP,TUP 5711003755926S6REAVOWED/WAMP/Y
590590285043,ACC#00018,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045494666FP,TUP PF08003166158F6REAVOWED/WAMP 9
73463831779,ACC#00007,USD,-50668159.43,CR,2023-08-25,2023-05-31,VOLERY 4042226666FP,TUP 570V003755927X6REAVOWED/WAMP/Y
883106890964,ACC#00025,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045491666FP,TUP PF02003166158S6REAVOWED/WAMP 9
650398749090,ACC#00023,USD,776.78,DR,2023-08-25,2023-05-31,RM155761-767-660 3022466619VI,
803792518094,ACC#00032,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045266666FP,TUP PF06003166158K6REAVOWED/WAMP 9
531210378210,ACC#00039,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045261666FP,TUP PF6X003166158Y6REAVOWED/WAMP 9
105491165022,ACC#00017,USD,-3083445.30,CR,2023-08-25,2023-05-31,VOLERY 4049160666FP,TUP 2X4600372447666IFV /606/763546
752424218837,ACC#00013,USD,50542100.00,DR,2023-08-25,2023-05-31,VOLERY 4045287666FP,TUP LOO6003166121C6REAVOWED/WAMP 9
911386221836,ACC#00005,USD,470074.15,DR,2023-08-25,2023-05-31,VOLERY 4042073666FP,TUP 24WT00372607866IFV /967/LX2313
228742277073,ACC#00017,USD,-28478.86,CR,2023-08-25,2023-05-31,VOLERY 4049103666FP,TUP 224800372066166IFV /052/Y.M.P.
644016448034,ACC#00005,USD,1829400.00,DR,2023-08-25,2023-05-31,VOLERY 4042623666FP,TUP Q63X66666666666IFV /06/28921MH
43980796297,ACC#00024,USD,-587305.42,CR,2023-08-25,2023-05-31,V360488466835204 8612666619VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
445754068643,ACC#00046,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045236666FP,TUP FU2C003166148S6REAVOWED/WAMP 9
11680342011,ACC#00025,USD,-29639.19,CR,2023-08-25,2023-05-31,V367689566842753 8619766619VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
386214889534,ACC#00016,USD,-4000000.00,CR,2023-08-25,2023-05-31,VOLERY 1978666619VI,UPCLOSER SAUNT TYPY ADWARD ADWARD
632131452531,ACC#00053,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045200666FP,TUP PF68003166158C6REAVOWED/WAMP 9
349586271443,ACC#00020,USD,919512.00,DR,2023-08-25,2023-05-31,VOLERY 4042016666FP,TUP 24V300374997566IFV /967/LX2313
882715622427,ACC#00013,USD,2000000.00,DR,2023-08-25,2023-05-31,V355105946546979 3023966619VI,
540443411599,ACC#00011,USD,-728264.40,CR,2023-08-25,2023-05-31,VOLERY 4049728666FP,TUP 06PFG00372888066IFV /6938/WAGE
955473492569,ACC#00021,USD,-240634.94,CR,2023-08-25,2023-05-31,VOLERY 4049164666FP,TUP 256X00372001666IFV /960/157629
954886360272,ACC#00015,USD,43726100.00,DR,2023-08-25,2023-05-31,VOLERY 4045221666FP,TUP FU39003166147Q6REAVOWED/WAMP 9
164742920067,ACC#00003,USD,22537.51,DR,2023-08-25,2023-05-31,VOLERY 4042653666FP,TUP 2T1T00375774066IFV /052/660066
148924969268,ACC#00060,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045269666FP,TUP PF62003166158T6REAVOWED/WAMP 9
336741613574,ACC#00018,USD,-54179983.40,CR,2023-08-25,2023-05-31,VOLERY 4042298666FP,TUP 5761003755939Z6REAVOWED/WAMP/Y
692112904029,ACC#00020,USD,-202455.98,CR,2023-08-25,2023-05-31,4966675806149 7847866619FW,MISAPPLICABILITY HYPERESSENCE AI D
636958709687,ACC#00010,USD,-7968283.08,CR,2023-08-25,2023-05-31,V360210966835598 8612466619VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
494763169490,ACC#00008,USD,-33377.64,CR,2023-08-25,2023-05-31,VOLERY 4049182666FP,TUP 24V600374925366IFV /052/Y.M.P.
913529186576,ACC#00012,USD,-2416071.35,CR,2023-08-25,2023-05-31,VOLERY 4042214666FP,TUP 573800375981266REAVOWED/WAMP/C
216880824013,ACC#00010,USD,-50542491.63,CR,2023-08-25,2023-05-31,VOLERY 4042284666FP,TUP 5712003755928Q6REAVOWED/WAMP/Y
629805193789,ACC#00012,USD,-470074.15,CR,2023-08-25,2023-05-31,VOLERY 4049186666FP,TUP 24KI00372600466IFV /052/Y.M.P.
479238970169,ACC#00003,USD,-457945.80,CR,2023-08-25,2023-05-31,VOLERY 4049183666FP,TUP 24V700374990266IFV /052/Y.M.P.
113248366274,ACC#00022,USD,898105.32,DR,2023-08-25,2023-05-31,VOLERY 4045254666FP,TUP DG5900379539966EU AS UDV/YARAY
512598211342,ACC#00009,USD,-85025795.32,CR,2023-08-25,2023-05-31,VOLERY 4042534666FP,TUP ORL6003755518C6REAVOWED/WAMP/Y
642813473467,ACC#00019,USD,-54247963.30,CR,2023-08-25,2023-05-31,VOLERY 4042563666FP,TUP 50V5003755937H6REAVOWED/WAMP/Y
735642022538,ACC#00067,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045231666FP,TUP FU22003166148Y6REAVOWED/WAMP 9
273623009063,ACC#00012,USD,-27588026.77,CR,2023-08-25,2023-05-31,INTERNIDAL 1563466619VI,UPCLOSER ELUVIA VEG APOSTEM TROCAR
844141071229,ACC#00002,USD,-179761.40,CR,2023-08-25,2023-05-31,V360477166835348 8614466619VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
