internal_txn_id,account,currency,amount,debit_credit,txn_date,value_date,allocation,reference,narrative,status
98959003237,ACC#00001,USD,-50604970.76,DR,2023-04-09,2023-04-08,USD_2023-04-08_ACC#00001_66912     0638106381898946888856NAPE548         MORIBUND VEXES WHUFF SMILAX   BOLL      00898946888856NAPE548         MORIBUND VEXES S FOMALHAUT,008989468 88856 NAPE548                                                                         SLATTERN AVIARY ENNOBLERS,66912     0638106381898946888856NAPE548         MORIBUND VEXES WHUFF SMILAX   BOLL      00898946888856NAPE548         MORIBUND VEXES S FOMALHAUT,unmatched
954216174866,ACC#00001,USD,-469678.71,DR,2023-03-11,2023-03-08,USD_2023-03-08_ACC#00001_66912     0250702507150580 67666                SEMSEM ODONTOLOGY AZ,RM150580  67666 UPCLOSER SAUNT TYPY H.C.,66912     0250702507150580 67666                SEMSEM ODONTOLOGY AZ,unmatched
629005802133,ACC#00001,USD,-270000.00,DR,2023-04-14,2023-04-13,USD_2023-04-13_ACC#00001_66912     0147601476895644141476                MORIBUND ROTENONES S SMILAX   BOLL      00895644141476                MORIBUND ZYGNEMA SK HYRACIFORM,008956441 41476 TSURIS ANOETIC HACKLEBACK,66912     0147601476895644141476                MORIBUND ROTENONES S SMILAX   BOLL      00895644141476                MORIBUND ZYGNEMA SK HYRACIFORM,unmatched
696024912884,ACC#00001,USD,950000.00,CR,2023-04-07,2023-04-06,USD_2023-04-06_ACC#00001_66912     0147601476891280541476FALX461         IF TMH SEE FAMES SMILAX   BOLL      00891280541476FALX461         IF TMH SEE FAMES,008912805 41476 FALX461 L9MS5WD                                                                 UPCLOSER MONOCOQUE GAB -,66912     0147601476891280541476FALX461         IF TMH SEE FAMES SMILAX   BOLL      00891280541476FALX461         IF TMH SEE FAMES,unmatched
786097341265,ACC#00001,USD,-5000000.00,DR,2023-05-26,2023-05-25,USD_2023-05-25_ACC#00001_66912     0730607306 SMILAX   FGGKR,19105170 REFINE2422JOQG7U                                                                YUO WATERER     156546904,66912     0730607306 SMILAX   FGGKR,unmatched
468045001853,ACC#00001,USD,50542100.00,CR,2023-03-13,2023-03-12,USD_2023-03-12_ACC#00001_66912     0147701477824577041477OKET964         IF TMH SEE FAMES SMILAX   BOLL      00824577041477OKET964         IF TMH SEE FAMES,008245770 41477 OKET964 L9HZ9HL                                                                 UPCLOSER MONOCOQUE GAB -,66912     0147701477824577041477OKET964         IF TMH SEE FAMES SMILAX   BOLL      00824577041477OKET964         IF TMH SEE FAMES,unmatched
960362883649,ACC#00001,USD,-218506.40,DR,2023-05-18,2023-05-17,USD_2023-05-17_ACC#00001_66912     0603706037303720067050JADE343         MORIBUND VEXES WHUFF SMILAX   BOLL      00303720067050JADE343         MORIBUND VEXES S FOMALHAUT,003037200 67050 JADE343                                                                         SAUNT MAZA MICRODONTY,66912     0603706037303720067050JADE343         MORIBUND VEXES WHUFF SMILAX   BOLL      00303720067050JADE343         MORIBUND VEXES S FOMALHAUT,unmatched
257323885146,ACC#00001,USD,-1416340.00,DR,2023-03-25,2023-03-24,USD_2023-03-24_ACC#00001_66912     0256602566 SMILAX   FGGKR,35146617 ALME7U0360JOQG7U                                                                JO TONITE SAUNT 664952723,66912     0256602566 SMILAX   FGGKR,unmatched
875052896664,ACC#00001,USD,-58700000.00,DR,2023-04-20,2023-04-19,USD_2023-04-19_ACC#00001_66912     0147701477899377641477ARGAS08         OFF TMH TIRO FAMES SMILAX   BOLL      00899377641477ARGAS08         OFF TMH TIRO HAU BT,008993776 41477 ARGAS08 L9K61LY                                                                 UPCLOSER MONOCOQUE GAB -,66912     0147701477899377641477ARGAS08         OFF TMH TIRO FAMES SMILAX   BOLL      00899377641477ARGAS08         OFF TMH TIRO HAU BT,unmatched
164344816021,ACC#00001,USD,-5686540.00,DR,2023-08-25,2023-05-28,USD_2023-05-28_ACC#00001_66912     0256602566 SMILAX   FGGKR,85388826 ALME7U8607JOQG7U                                                                JO TONITE SAUNT 664952723,66912     0256602566 SMILAX   FGGKR,unmatched
