file,passed,reasons
ingest_batch_0001.csv,True,
ingest_batch_0002.csv,True,
ingest_batch_0003.csv,True,
ingest_batch_0004.csv,True,
ingest_batch_0005.csv,True,
ingest_batch_0006.csv,True,
ingest_batch_0007.csv,True,
ingest_batch_0008.csv,True,
ingest_batch_0009.csv,True,
ingest_batch_0010.csv,True,
ingest_batch_0011.csv,True,
ingest_batch_0012.csv,True,
ingest_batch_0013.csv,False,RECORD_COUNT: actual=499 vs declared=500; CONTROL_TOTAL: actual=1629545311.13 vs declared=1629719443.38 (diff=174132.25)
ingest_batch_0014.csv,True,
ingest_batch_0015.csv,True,
ingest_batch_0016.csv,True,
ingest_batch_0017.csv,True,
ingest_batch_0018.csv,True,
ingest_batch_0019.csv,True,
ingest_batch_0020.csv,True,
ingest_batch_0021.csv,True,
ingest_batch_0022.csv,True,
ingest_batch_0023.csv,True,
ingest_batch_0024.csv,True,
ingest_batch_0025.csv,True,
ingest_batch_0026.csv,True,
ingest_batch_0027.csv,True,
ingest_batch_0028.csv,True,
ingest_batch_0029.csv,True,
ingest_batch_0030.csv,True,
ingest_batch_0031.csv,True,
ingest_batch_0032.csv,True,
ingest_batch_0033.csv,True,
ingest_batch_0034.csv,True,
ingest_batch_0035.csv,True,
ingest_batch_0036.csv,True,
ingest_batch_0037.csv,True,
ingest_batch_0038.csv,True,
ingest_batch_0039.csv,True,
ingest_batch_0040.csv,True,
ingest_batch_0041.csv,True,
ingest_batch_0042.csv,True,
ingest_batch_0043.csv,True,
ingest_batch_0044.csv,True,
ingest_batch_0045.csv,True,
ingest_batch_0046.csv,True,
ingest_batch_0047.csv,True,
ingest_batch_0048.csv,True,
ingest_batch_0049.csv,True,
ingest_batch_0050.csv,True,
ingest_batch_0051.csv,True,
ingest_batch_0052.csv,True,
ingest_batch_0053.csv,True,
ingest_batch_0054.csv,True,
ingest_batch_0055.csv,True,
ingest_batch_0056.csv,True,
ingest_batch_0057.csv,True,
ingest_batch_0058.csv,True,
ingest_batch_0059.csv,True,
ingest_batch_0060.csv,True,
ingest_batch_0061.csv,True,
ingest_batch_0062.csv,True,
ingest_batch_0063.csv,True,
ingest_batch_0064.csv,True,
ingest_batch_0065.csv,True,
